name	sample_len	model_contig_len	score	pvalue
h_bacteria-parasphingopyxis-algicolasample0	50	150	0.0004469203995540738	0.9655493744439815
h_bacteria-parasphingopyxis-algicolasample0	50	300	0.04552134498953819	0.5454637687694458
h_bacteria-parasphingopyxis-algicolasample0	50	500	0.02820735052227974	0.5643003631300683
h_bacteria-parasphingopyxis-algicolasample0	50	1000	0.08366314321756363	0.20061938212855956
h_bacteria-parasphingopyxis-algicolasample1	50	150	0.5005722641944885	0.20293408858008355
h_bacteria-parasphingopyxis-algicolasample1	50	300	0.023872338235378265	0.614673986562655
h_bacteria-parasphingopyxis-algicolasample1	50	500	0.08406122773885727	0.43375228132232024
h_bacteria-parasphingopyxis-algicolasample1	50	1000	0.5659857392311096	0.04628370722864265
h_bacteria-parasphingopyxis-algicolasample2	50	150	0.4582989513874054	0.2414049391335683
h_bacteria-parasphingopyxis-algicolasample2	50	300	0.0022976503241807222	0.7864848717139379
h_bacteria-parasphingopyxis-algicolasample2	50	500	0.009598552249372005	0.6685732563171461
h_bacteria-parasphingopyxis-algicolasample2	50	1000	0.2573358118534088	0.1305612206359997
h_bacteria-parasphingopyxis-algicolasample3	50	150	0.000484418123960495	0.9643838470287497
h_bacteria-parasphingopyxis-algicolasample3	50	300	0.06738781929016113	0.49793705190061777
h_bacteria-parasphingopyxis-algicolasample3	50	500	0.0033571075182408094	0.7514910910835575
h_bacteria-parasphingopyxis-algicolasample3	50	1000	0.12368129193782806	0.17692046227056424
h_bacteria-parasphingopyxis-algicolasample4	50	150	0.08455517888069153	0.6755976847107578
h_bacteria-parasphingopyxis-algicolasample4	50	300	0.6473509669303894	0.07805383956351175
h_bacteria-parasphingopyxis-algicolasample4	50	500	0.07793765515089035	0.4431409810156353
h_bacteria-parasphingopyxis-algicolasample4	50	1000	0.007268951274454594	0.3661907999093587
h_bacteria-parasphingopyxis-algicolasample5	50	150	0.24236436188220978	0.45432483868424905
h_bacteria-parasphingopyxis-algicolasample5	50	300	0.04341299086809158	0.5507564143031068
h_bacteria-parasphingopyxis-algicolasample5	50	500	0.016956819221377373	0.6163709571205479
h_bacteria-parasphingopyxis-algicolasample5	50	1000	0.026720352470874786	0.27556839640456227
h_bacteria-parasphingopyxis-algicolasample6	50	150	0.020004792138934135	0.8308408689091339
h_bacteria-parasphingopyxis-algicolasample6	50	300	0.3948551416397095	0.20848176038237815
h_bacteria-parasphingopyxis-algicolasample6	50	500	0.00017032241157721728	0.897580387213306
h_bacteria-parasphingopyxis-algicolasample6	50	1000	0.0003700312227010727	0.5770262104388549
h_bacteria-parasphingopyxis-algicolasample7	50	150	0.03278225287795067	0.7900643010776905
h_bacteria-parasphingopyxis-algicolasample7	50	300	0.009651715867221355	0.6936409343013031
h_bacteria-parasphingopyxis-algicolasample7	50	500	0.0012725931592285633	0.8117274078533933
h_bacteria-parasphingopyxis-algicolasample7	50	1000	0.08330877870321274	0.20092151975224715
h_bacteria-parasphingopyxis-algicolasample8	50	150	0.08192528039216995	0.6805751061361922
h_bacteria-parasphingopyxis-algicolasample8	50	300	0.0003252557653468102	0.8696735356450377
h_bacteria-parasphingopyxis-algicolasample8	50	500	6.462360033765435e-06	0.9643361116860147
h_bacteria-parasphingopyxis-algicolasample8	50	1000	3.274613118264824e-05	0.7227131958607146
h_bacteria-parasphingopyxis-algicolasample9	50	150	0.17722433805465698	0.5351347394736545
h_bacteria-parasphingopyxis-algicolasample9	50	300	0.8860805034637451	0.027229787617802228
h_bacteria-parasphingopyxis-algicolasample9	50	500	0.011256742291152477	0.6547159871305198
h_bacteria-parasphingopyxis-algicolasample9	50	1000	0.2645801901817322	0.12838960646574515
h_bacteria-parasphingopyxis-algicolasample10	50	150	0.45103660225868225	0.2478716455895767
h_bacteria-parasphingopyxis-algicolasample10	50	300	0.01918727718293667	0.6356472922397078
h_bacteria-parasphingopyxis-algicolasample10	50	500	0.0007906337850727141	0.8358670906319968
h_bacteria-parasphingopyxis-algicolasample10	50	1000	0.061393316835165024	0.22146687816300326
h_bacteria-parasphingopyxis-algicolasample11	50	150	0.28422418236732483	0.4076671433880249
h_bacteria-parasphingopyxis-algicolasample11	50	300	0.030629578977823257	0.5895691482166209
h_bacteria-parasphingopyxis-algicolasample11	50	500	0.00670500285923481	0.699063011533613
h_bacteria-parasphingopyxis-algicolasample11	50	1000	0.01485050842165947	0.31528061031799987
h_bacteria-parasphingopyxis-algicolasample12	50	150	0.17170602083206177	0.5426121327462529
h_bacteria-parasphingopyxis-algicolasample12	50	300	0.02386394515633583	0.6147078053839563
h_bacteria-parasphingopyxis-algicolasample12	50	500	0.0022069138940423727	0.7790739242506914
h_bacteria-parasphingopyxis-algicolasample12	50	1000	0.017425362020730972	0.3043281214593247
h_bacteria-parasphingopyxis-algicolasample13	50	150	0.001305381883867085	0.9470951903694779
h_bacteria-parasphingopyxis-algicolasample13	50	300	0.0031156684271991253	0.769772737520855
h_bacteria-parasphingopyxis-algicolasample13	50	500	8.391684241360053e-05	0.9179006190144687
h_bacteria-parasphingopyxis-algicolasample13	50	1000	0.010338730178773403	0.34141551476697635
h_bacteria-parasphingopyxis-algicolasample14	50	150	0.45589524507522583	0.2435164018423216
h_bacteria-parasphingopyxis-algicolasample14	50	300	0.005648734048008919	0.7326114893808902
h_bacteria-parasphingopyxis-algicolasample14	50	500	0.30653947591781616	0.2482643135336507
h_bacteria-parasphingopyxis-algicolasample14	50	1000	0.6354794502258301	0.038635848629050534
h_bacteria-parasphingopyxis-algicolasample15	50	150	0.0017233319813385606	0.9406003310773527
h_bacteria-parasphingopyxis-algicolasample15	50	300	0.0007477803737856448	0.8391633223610047
h_bacteria-parasphingopyxis-algicolasample15	50	500	0.006600779481232166	0.700361248565354
h_bacteria-parasphingopyxis-algicolasample15	50	1000	0.6803070902824402	0.03480247752851424
h_bacteria-parasphingopyxis-algicolasample16	50	150	0.16159586608409882	0.5563000416661974
h_bacteria-parasphingopyxis-algicolasample16	50	300	0.5893612504005432	0.09567908193173107
h_bacteria-parasphingopyxis-algicolasample16	50	500	0.0044214497320353985	0.731951683004384
h_bacteria-parasphingopyxis-algicolasample16	50	1000	0.011810477823019028	0.33118060276455924
h_bacteria-parasphingopyxis-algicolasample17	50	150	0.00014016087516210973	0.9781280616209277
h_bacteria-parasphingopyxis-algicolasample17	50	300	0.00025156844640150666	0.8781282409703747
h_bacteria-parasphingopyxis-algicolasample17	50	500	0.0007768195937387645	0.8366385068392632
h_bacteria-parasphingopyxis-algicolasample17	50	1000	0.0002035082143265754	0.6147367625953621
h_bacteria-parasphingopyxis-algicolasample18	50	150	0.0011764089576900005	0.9491925766601728
h_bacteria-parasphingopyxis-algicolasample18	50	300	0.00018555630231276155	0.8867125851107003
h_bacteria-parasphingopyxis-algicolasample18	50	500	0.001728388131596148	0.7942576530132269
h_bacteria-parasphingopyxis-algicolasample18	50	1000	0.0029586716555058956	0.43143364302439763
h_bacteria-parasphingopyxis-algicolasample19	50	150	0.00706511689350009	0.8919268927151721
h_bacteria-parasphingopyxis-algicolasample19	50	300	0.022402577102184296	0.6210150155566578
h_bacteria-parasphingopyxis-algicolasample19	50	500	3.115883737336844e-05	0.9402905040546389
h_bacteria-parasphingopyxis-algicolasample19	50	1000	5.7535191444912925e-05	0.6913475338016466
h_bacteria-parasphingopyxis-algicolasample20	50	150	0.0006740526878274977	0.9594402090066553
h_bacteria-parasphingopyxis-algicolasample20	50	300	0.0030356780625879765	0.7713058574198494
h_bacteria-parasphingopyxis-algicolasample20	50	500	0.0002901845728047192	0.8789441005475174
h_bacteria-parasphingopyxis-algicolasample20	50	1000	0.009164336137473583	0.3501397386509555
h_bacteria-parasphingopyxis-algicolasample21	50	150	0.3733856976032257	0.31865069087059833
h_bacteria-parasphingopyxis-algicolasample21	50	300	0.22815176844596863	0.3155916039139649
h_bacteria-parasphingopyxis-algicolasample21	50	500	0.037406593561172485	0.5325217783965832
h_bacteria-parasphingopyxis-algicolasample21	50	1000	0.39633941650390625	0.09747715084220862
h_bacteria-parasphingopyxis-algicolasample22	50	150	0.35505515336990356	0.3358774112904134
h_bacteria-parasphingopyxis-algicolasample22	50	300	0.15981020033359528	0.3750901835234703
h_bacteria-parasphingopyxis-algicolasample22	50	500	0.04154244065284729	0.5202920092569945
h_bacteria-parasphingopyxis-algicolasample22	50	1000	0.03208053484559059	0.2634640078555782
h_bacteria-parasphingopyxis-algicolasample23	50	150	0.577245831489563	0.1483260323645004
h_bacteria-parasphingopyxis-algicolasample23	50	300	0.004744912497699261	0.7443071650809397
h_bacteria-parasphingopyxis-algicolasample23	50	500	0.11030348390340805	0.3986716589211462
h_bacteria-parasphingopyxis-algicolasample23	50	1000	0.042963605374097824	0.2447692423899086
h_bacteria-parasphingopyxis-algicolasample24	50	150	0.19015631079673767	0.5181135347574914
h_bacteria-parasphingopyxis-algicolasample24	50	300	0.0015215743333101273	0.8073229021057853
h_bacteria-parasphingopyxis-algicolasample24	50	500	0.00012478824646677822	0.9069220493330072
h_bacteria-parasphingopyxis-algicolasample24	50	1000	0.006031271070241928	0.37918271772792506
h_bacteria-parasphingopyxis-algicolasample25	50	150	0.002651502378284931	0.9288380761477911
h_bacteria-parasphingopyxis-algicolasample25	50	300	0.08539509028196335	0.46665464219687064
h_bacteria-parasphingopyxis-algicolasample25	50	500	3.3701027859933674e-05	0.9387100415812151
