name	sample_len	model_contig_len	score	pvalue
v_phage-synechococcus-s-eivisample0	500	150	0.5849342346191406	0.14363858515106812
v_phage-synechococcus-s-eivisample0	500	300	0.9155724048614502	0.02206678089912973
v_phage-synechococcus-s-eivisample0	500	500	0.9996774196624756	0.0011100867372857439
v_phage-synechococcus-s-eivisample0	500	1000	0.9388633370399475	0.014918045169574741
v_phage-synechococcus-s-eivisample1	500	150	0.5329761505126953	0.1772277339219153
v_phage-synechococcus-s-eivisample1	500	300	0.8422434329986572	0.03531248590882446
v_phage-synechococcus-s-eivisample1	500	500	0.9960997104644775	0.004826055052776158
v_phage-synechococcus-s-eivisample1	500	1000	0.672298789024353	0.03536898557292847
v_phage-synechococcus-s-eivisample2	500	150	0.4168834090232849	0.27857512865846107
v_phage-synechococcus-s-eivisample2	500	300	0.442780464887619	0.17999503990620913
v_phage-synechococcus-s-eivisample2	500	500	0.5358768701553345	0.11653088487083482
v_phage-synechococcus-s-eivisample2	500	1000	0.22614678740501404	0.13871893647556463
v_phage-synechococcus-s-eivisample3	500	150	0.36434537172317505	0.3272936115584284
v_phage-synechococcus-s-eivisample3	500	300	0.18769767880439758	0.34892005230644363
v_phage-synechococcus-s-eivisample3	500	500	0.23283657431602478	0.292921785922595
v_phage-synechococcus-s-eivisample3	500	1000	0.1347026824951172	0.17189742427675805
v_phage-synechococcus-s-eivisample4	500	150	0.4816896915435791	0.22027905091158884
v_phage-synechococcus-s-eivisample4	500	300	0.32857975363731384	0.24786941425801506
v_phage-synechococcus-s-eivisample4	500	500	0.5392417907714844	0.11510094263297523
v_phage-synechococcus-s-eivisample4	500	1000	0.11092343181371689	0.18332200317244504
v_phage-synechococcus-s-eivisample5	500	150	0.45985281467437744	0.23998603619328612
v_phage-synechococcus-s-eivisample5	500	300	0.5594190359115601	0.10661383415250034
v_phage-synechococcus-s-eivisample5	500	500	0.9084488153457642	0.028326026830231988
v_phage-synechococcus-s-eivisample5	500	1000	0.20159131288528442	0.14631014427071531
v_phage-synechococcus-s-eivisample6	500	150	0.39678752422332764	0.29710532539047985
v_phage-synechococcus-s-eivisample6	500	300	0.29702866077423096	0.2675181494340984
v_phage-synechococcus-s-eivisample6	500	500	0.4951269030570984	0.1415925040922689
v_phage-synechococcus-s-eivisample6	500	1000	0.42628249526023865	0.09016919706926504
v_phage-synechococcus-s-eivisample7	500	150	0.6160612106323242	0.12613033637008592
v_phage-synechococcus-s-eivisample7	500	300	0.7573229074478149	0.05169770482932768
v_phage-synechococcus-s-eivisample7	500	500	0.907413125038147	0.028467139551073398
v_phage-synechococcus-s-eivisample7	500	1000	0.7910876274108887	0.02605937004305461
v_phage-synechococcus-s-eivisample8	500	150	0.4647754430770874	0.23552381166878752
v_phage-synechococcus-s-eivisample8	500	300	0.51939857006073	0.12527055057041078
v_phage-synechococcus-s-eivisample8	500	500	0.7844520807266235	0.05174133097518298
v_phage-synechococcus-s-eivisample8	500	1000	0.9811941385269165	0.009120779515069115
v_phage-synechococcus-s-eivisample9	500	150	0.5929003953933716	0.13898210605736422
v_phage-synechococcus-s-eivisample9	500	300	0.9033161401748657	0.024214276051765342
v_phage-synechococcus-s-eivisample9	500	500	0.19006957113742828	0.32327983593294324
v_phage-synechococcus-s-eivisample9	500	1000	0.195918470621109	0.148009668403958
v_phage-synechococcus-s-eivisample10	500	150	0.4754810929298401	0.22597436965799936
v_phage-synechococcus-s-eivisample10	500	300	0.881085991859436	0.02806398520990215
v_phage-synechococcus-s-eivisample10	500	500	0.9452419877052307	0.02104461043481533
v_phage-synechococcus-s-eivisample10	500	1000	0.9289914965629578	0.015654505627313242
v_phage-synechococcus-s-eivisample11	500	150	0.40246546268463135	0.2919308341122285
v_phage-synechococcus-s-eivisample11	500	300	0.3132566511631012	0.25697795012851155
v_phage-synechococcus-s-eivisample11	500	500	0.11904099583625793	0.3884456904175055
v_phage-synechococcus-s-eivisample11	500	1000	0.04517124220728874	0.2412380089130599
v_phage-synechococcus-s-eivisample12	500	150	0.7459039688110352	0.06824810531412935
v_phage-synechococcus-s-eivisample12	500	300	0.9522120952606201	0.014823916670424313
v_phage-synechococcus-s-eivisample12	500	500	0.9974158406257629	0.0038570810363318217
v_phage-synechococcus-s-eivisample12	500	1000	0.4849795997142792	0.07183322003172445
v_phage-synechococcus-s-eivisample13	500	150	0.4766131639480591	0.22482854922804923
v_phage-synechococcus-s-eivisample13	500	300	0.7242652177810669	0.05879965730261081
v_phage-synechococcus-s-eivisample13	500	500	0.9793404936790466	0.012079248904024535
v_phage-synechococcus-s-eivisample13	500	1000	0.18014316260814667	0.15378805045698316
v_phage-synechococcus-s-eivisample14	500	150	0.8451673984527588	0.03646636862197498
v_phage-synechococcus-s-eivisample14	500	300	0.9069607853889465	0.023492807864003245
v_phage-synechococcus-s-eivisample14	500	500	0.9630012512207031	0.01669833863289996
v_phage-synechococcus-s-eivisample14	500	1000	0.8734959363937378	0.019865548757459023
v_phage-synechococcus-s-eivisample15	500	150	0.4508954882621765	0.2479955180684902
v_phage-synechococcus-s-eivisample15	500	300	0.6974762678146362	0.06526468864138522
v_phage-synechococcus-s-eivisample15	500	500	0.9694507122039795	0.015099061130030669
v_phage-synechococcus-s-eivisample15	500	1000	0.969821572303772	0.010876954452753228
v_phage-synechococcus-s-eivisample16	500	150	0.36362403631210327	0.32799743246134616
v_phage-synechococcus-s-eivisample16	500	300	0.18535199761390686	0.35097172746539207
v_phage-synechococcus-s-eivisample16	500	500	0.06227029114961624	0.47183390092005495
v_phage-synechococcus-s-eivisample16	500	1000	0.0020380117930471897	0.4581161719163079
v_phage-synechococcus-s-eivisample17	500	150	0.510659396648407	0.19418418711500995
v_phage-synechococcus-s-eivisample17	500	300	0.7210453748703003	0.059554944311674254
v_phage-synechococcus-s-eivisample17	500	500	0.13540241122245789	0.3715403864607048
v_phage-synechococcus-s-eivisample17	500	1000	0.11006376147270203	0.18379409320945692
v_phage-synechococcus-s-eivisample18	500	150	0.5392624139785767	0.17289501244355357
v_phage-synechococcus-s-eivisample18	500	300	0.9191540479660034	0.021356585651801416
v_phage-synechococcus-s-eivisample18	500	500	0.7444766759872437	0.05910741500310448
v_phage-synechococcus-s-eivisample18	500	1000	0.18987442553043365	0.1502945841830954
v_phage-synechococcus-s-eivisample19	500	150	0.6781545877456665	0.09571119694598033
v_phage-synechococcus-s-eivisample19	500	300	0.8774960041046143	0.02879672633809803
v_phage-synechococcus-s-eivisample19	500	500	0.9868060350418091	0.009501589869988147
v_phage-synechococcus-s-eivisample19	500	1000	0.995932400226593	0.005816149255986102
v_phage-synechococcus-s-eivisample20	500	150	0.4238085448741913	0.2722407405322012
v_phage-synechococcus-s-eivisample20	500	300	0.3235185146331787	0.2508116517112324
v_phage-synechococcus-s-eivisample20	500	500	0.49317124485969543	0.1430506688742968
v_phage-synechococcus-s-eivisample20	500	1000	4.7253211960196495e-05	0.7022433718558804
v_phage-synechococcus-s-eivisample21	500	150	0.47008857131004333	0.23080539633562686
v_phage-synechococcus-s-eivisample21	500	300	0.7866699695587158	0.045807593452676196
