name	sample_len	model_contig_len	score	pvalue
h_archaea-acidianus-ambivalenssample0	500	150	0.36695975065231323	0.32474296460625446
h_archaea-acidianus-ambivalenssample0	500	300	0.23310954868793488	0.3118038959282139
h_archaea-acidianus-ambivalenssample0	500	500	0.3297543525695801	0.23589343167322058
h_archaea-acidianus-ambivalenssample0	500	1000	0.005893162451684475	0.3808444746582068
h_archaea-acidianus-ambivalenssample1	500	150	0.341036319732666	0.349556874359523
h_archaea-acidianus-ambivalenssample1	500	300	0.4194994568824768	0.1937423907652072
h_archaea-acidianus-ambivalenssample1	500	500	0.36459362506866455	0.21761463056689684
h_archaea-acidianus-ambivalenssample1	500	1000	0.4165796935558319	0.0925674144572853
h_archaea-acidianus-ambivalenssample2	500	150	0.4910051226615906	0.2119120280177025
h_archaea-acidianus-ambivalenssample2	500	300	0.1961996704339981	0.34164336925643685
h_archaea-acidianus-ambivalenssample2	500	500	0.5432490110397339	0.11347344258593765
h_archaea-acidianus-ambivalenssample2	500	1000	0.003153675701469183	0.42646725583503287
h_archaea-acidianus-ambivalenssample3	500	150	0.6215927004814148	0.12318554971227802
h_archaea-acidianus-ambivalenssample3	500	300	0.7785083651542664	0.047413987464490236
h_archaea-acidianus-ambivalenssample3	500	500	0.5542362928390503	0.109098948239854
h_archaea-acidianus-ambivalenssample3	500	1000	0.015397995710372925	0.31275020771961626
h_archaea-acidianus-ambivalenssample4	500	150	0.5650331974029541	0.15578653393542866
h_archaea-acidianus-ambivalenssample4	500	300	0.4419081211090088	0.18045159399377733
h_archaea-acidianus-ambivalenssample4	500	500	0.5289847254753113	0.11981410750907825
h_archaea-acidianus-ambivalenssample4	500	1000	0.0073208557441830635	0.3658320114812297
h_archaea-acidianus-ambivalenssample5	500	150	0.6604331731796265	0.10401346831679824
h_archaea-acidianus-ambivalenssample5	500	300	0.6807108521461487	0.06949204130405374
h_archaea-acidianus-ambivalenssample5	500	500	0.4071003198623657	0.19492370505559842
h_archaea-acidianus-ambivalenssample5	500	1000	0.01708749495446682	0.30568774076591887
h_archaea-acidianus-ambivalenssample6	500	150	0.32384875416755676	0.3665161428362293
h_archaea-acidianus-ambivalenssample6	500	300	0.6897963881492615	0.06722618027686342
h_archaea-acidianus-ambivalenssample6	500	500	0.3795613646507263	0.20970291068505523
h_archaea-acidianus-ambivalenssample6	500	1000	0.037335749715566635	0.254022207115341
h_archaea-acidianus-ambivalenssample7	500	150	0.5817782878875732	0.14562054481368453
h_archaea-acidianus-ambivalenssample7	500	300	0.6936765909194946	0.06620597916760608
h_archaea-acidianus-ambivalenssample7	500	500	0.46391957998275757	0.16242074168846074
h_archaea-acidianus-ambivalenssample7	500	1000	0.0038962222170084715	0.41109600422992676
h_archaea-acidianus-ambivalenssample8	500	150	0.4466235637664795	0.25196225267733474
h_archaea-acidianus-ambivalenssample8	500	300	0.36196601390838623	0.2277866708752311
h_archaea-acidianus-ambivalenssample8	500	500	0.30330121517181396	0.2503057442284897
h_archaea-acidianus-ambivalenssample8	500	1000	0.039531633257865906	0.24998111639851953
h_archaea-acidianus-ambivalenssample9	500	150	0.4532589018344879	0.24589250121057196
h_archaea-acidianus-ambivalenssample9	500	300	0.12164080142974854	0.41711570546061233
h_archaea-acidianus-ambivalenssample9	500	500	0.036950357258319855	0.5339234980902745
h_archaea-acidianus-ambivalenssample9	500	1000	0.020431384444236755	0.2930923785784425
h_archaea-acidianus-ambivalenssample10	500	150	0.6264432668685913	0.12056452066981228
h_archaea-acidianus-ambivalenssample10	500	300	0.6948075294494629	0.06595233800784597
h_archaea-acidianus-ambivalenssample10	500	500	0.5973687767982483	0.09391521947731848
h_archaea-acidianus-ambivalenssample10	500	1000	0.011231064796447754	0.33507062466953697
h_archaea-acidianus-ambivalenssample11	500	150	0.41699618101119995	0.2784625173139942
h_archaea-acidianus-ambivalenssample11	500	300	0.15734656155109406	0.3776604139423727
h_archaea-acidianus-ambivalenssample11	500	500	0.00897988025099039	0.6744435455041488
h_archaea-acidianus-ambivalenssample11	500	1000	2.2589083528146148e-06	0.8433794093209457
h_archaea-acidianus-ambivalenssample12	500	150	0.515606164932251	0.19010484116169862
h_archaea-acidianus-ambivalenssample12	500	300	0.30080145597457886	0.26513955900257025
h_archaea-acidianus-ambivalenssample12	500	500	0.49494653940200806	0.1417336168131103
h_archaea-acidianus-ambivalenssample12	500	1000	0.38302111625671387	0.10055517788352594
h_archaea-acidianus-ambivalenssample13	500	150	0.28081387281417847	0.41142836229321744
h_archaea-acidianus-ambivalenssample13	500	300	0.27609705924987793	0.28167132614871265
h_archaea-acidianus-ambivalenssample13	500	500	0.010554024949669838	0.6602664208169485
h_archaea-acidianus-ambivalenssample13	500	1000	4.07431315352369e-07	0.8976319963743485
h_archaea-acidianus-ambivalenssample14	500	150	0.9770194292068481	0.00446785509172194
h_archaea-acidianus-ambivalenssample14	500	300	0.9887561798095703	0.0056646525679758305
h_archaea-acidianus-ambivalenssample14	500	500	0.9990540146827698	0.0022013584451259665
h_archaea-acidianus-ambivalenssample14	500	1000	0.9998691082000732	0.0018128257421255382
h_archaea-acidianus-ambivalenssample15	500	150	0.42240673303604126	0.2735385862771816
h_archaea-acidianus-ambivalenssample15	500	300	0.4832700490951538	0.1532218063759751
h_archaea-acidianus-ambivalenssample15	500	500	0.6600722074508667	0.07733917853581442
h_archaea-acidianus-ambivalenssample15	500	1000	0.652891218662262	0.036823022886924996
h_archaea-acidianus-ambivalenssample16	500	150	0.4895155429840088	0.21333937680881973
h_archaea-acidianus-ambivalenssample16	500	300	0.42009812593460083	0.1933534743202417
h_archaea-acidianus-ambivalenssample16	500	500	0.3779729902744293	0.21065306967205405
h_archaea-acidianus-ambivalenssample16	500	1000	1.8616658792325325e-07	0.916761084674069
h_archaea-acidianus-ambivalenssample17	500	150	0.44678980112075806	0.25180459679508116
h_archaea-acidianus-ambivalenssample17	500	300	0.7120329141616821	0.06173062181539433
h_archaea-acidianus-ambivalenssample17	500	500	0.8354768753051758	0.04200455323712582
h_archaea-acidianus-ambivalenssample17	500	1000	0.6719343066215515	0.03536898557292847
h_archaea-acidianus-ambivalenssample18	500	150	0.5251352190971375	0.18292305266832581
h_archaea-acidianus-ambivalenssample18	500	300	0.3614344000816345	0.2281248590882446
h_archaea-acidianus-ambivalenssample18	500	500	0.08617480844259262	0.4303655760221265
h_archaea-acidianus-ambivalenssample18	500	1000	0.03444444015622139	0.25929073192839336
h_archaea-acidianus-ambivalenssample19	500	150	0.7728427052497864	0.05867332575083614
h_archaea-acidianus-ambivalenssample19	500	300	0.970652163028717	0.010855841637732786
h_archaea-acidianus-ambivalenssample19	500	500	0.9976365566253662	0.0037065608007676534
h_archaea-acidianus-ambivalenssample19	500	1000	0.9986950755119324	0.004022207115341038
h_archaea-acidianus-ambivalenssample20	500	150	0.48313552141189575	0.2190375108388419
h_archaea-acidianus-ambivalenssample20	500	300	0.732187032699585	0.05705235153537449
