name	sample_len	model_contig_len	score	pvalue
v_phage-aeromonas-phia047sample0	300	150	0.9331462383270264	0.013744214592178016
v_phage-aeromonas-phia047sample0	300	300	0.9963390827178955	0.0027505974658429905
v_phage-aeromonas-phia047sample0	300	500	0.8466691970825195	0.03979378727727709
v_phage-aeromonas-phia047sample0	300	1000	0.9999932646751404	0.0006042752473751794
v_phage-aeromonas-phia047sample1	300	150	0.6707463264465332	0.09913176653416066
v_phage-aeromonas-phia047sample1	300	300	0.8140214085578918	0.04029512558055643
v_phage-aeromonas-phia047sample1	300	500	0.6186007857322693	0.08744284934805922
v_phage-aeromonas-phia047sample1	300	1000	0.010154192335903645	0.34288843568245336
v_phage-aeromonas-phia047sample2	300	150	0.6987899541854858	0.08673888807558473
v_phage-aeromonas-phia047sample2	300	300	0.7200258374214172	0.05983676782251882
v_phage-aeromonas-phia047sample2	300	500	0.5764681696891785	0.1011590058138441
v_phage-aeromonas-phia047sample2	300	1000	0.04643421620130539	0.23951960117833673
v_phage-aeromonas-phia047sample3	300	150	0.959675669670105	0.008054526412990844
v_phage-aeromonas-phia047sample3	300	300	0.9948487281799316	0.0034044280110023897
v_phage-aeromonas-phia047sample3	300	500	0.9909979104995728	0.007751792131554686
v_phage-aeromonas-phia047sample3	300	1000	0.9924529790878296	0.0068547473374121915
v_phage-aeromonas-phia047sample4	300	150	0.5400404930114746	0.17238263082622943
v_phage-aeromonas-phia047sample4	300	300	0.9237608313560486	0.020499842178833928
v_phage-aeromonas-phia047sample4	300	500	0.8831315040588379	0.032907486500216375
v_phage-aeromonas-phia047sample4	300	1000	0.03332940861582756	0.26136792809124554
v_phage-aeromonas-phia047sample5	300	150	0.630954384803772	0.11826724924268871
v_phage-aeromonas-phia047sample5	300	300	0.8466514348983765	0.03460792713171303
v_phage-aeromonas-phia047sample5	300	500	0.1333656907081604	0.3736570772733259
v_phage-aeromonas-phia047sample5	300	1000	0.6949275732040405	0.033442858221920085
v_phage-aeromonas-phia047sample6	300	150	0.7823830246925354	0.05550613168770622
v_phage-aeromonas-phia047sample6	300	300	0.8162117004394531	0.0399231185462416
v_phage-aeromonas-phia047sample6	300	500	0.05107622966170311	0.4961241039342227
v_phage-aeromonas-phia047sample6	300	1000	0.00038892478914931417	0.573325024548682
v_phage-aeromonas-phia047sample7	300	150	0.9067770838737488	0.019943469105077646
v_phage-aeromonas-phia047sample7	300	300	0.9337927103042603	0.018566532894440185
v_phage-aeromonas-phia047sample7	300	500	0.9896441102027893	0.008259797926583755
v_phage-aeromonas-phia047sample7	300	1000	0.9449549913406372	0.014181584711836242
v_phage-aeromonas-phia047sample8	300	150	0.8132117986679077	0.0458159254963345
v_phage-aeromonas-phia047sample8	300	300	0.9708775281906128	0.010822022816431439
v_phage-aeromonas-phia047sample8	300	500	0.9911200404167175	0.007695347043218123
v_phage-aeromonas-phia047sample8	300	1000	0.9325093030929565	0.015371251605106126
v_phage-aeromonas-phia047sample9	300	150	0.8694134950637817	0.029819484014819653
v_phage-aeromonas-phia047sample9	300	300	0.6247209310531616	0.08460341795553952
v_phage-aeromonas-phia047sample9	300	500	0.9628268480300903	0.016735968691791003
v_phage-aeromonas-phia047sample9	300	1000	0.8979912400245667	0.01776946899312637
v_phage-aeromonas-phia047sample10	300	150	0.940780758857727	0.012069120843233748
v_phage-aeromonas-phia047sample10	300	300	0.918268084526062	0.021520043288091265
v_phage-aeromonas-phia047sample10	300	500	0.9853835105895996	0.010000188150294456
v_phage-aeromonas-phia047sample10	300	1000	0.8823693990707397	0.0190724374952791
v_phage-aeromonas-phia047sample11	300	150	0.8720743656158447	0.02908187970856184
v_phage-aeromonas-phia047sample11	300	300	0.9979994297027588	0.0018713081120079363
v_phage-aeromonas-phia047sample11	300	500	0.9998749494552612	0.0006114884569794352
v_phage-aeromonas-phia047sample11	300	1000	0.41119396686553955	0.09349271092982854
v_phage-aeromonas-phia047sample12	300	150	0.8011802434921265	0.04945608720622516
v_phage-aeromonas-phia047sample12	300	300	0.9436896443367004	0.016435947152455246
v_phage-aeromonas-phia047sample12	300	500	0.9937330484390259	0.006227774746467478
v_phage-aeromonas-phia047sample12	300	1000	0.9861894845962524	0.008271017448447769
v_phage-aeromonas-phia047sample13	300	150	0.8218242526054382	0.043132960214412
v_phage-aeromonas-phia047sample13	300	300	0.9971685409545898	0.002305316318708572
v_phage-aeromonas-phia047sample13	300	500	0.635161817073822	0.08306835500197558
v_phage-aeromonas-phia047sample13	300	1000	0.7546042203903198	0.02900521187400861
v_phage-aeromonas-phia047sample14	300	150	0.5999497771263123	0.1350547854190831
v_phage-aeromonas-phia047sample14	300	300	0.8653799295425415	0.031203499120710645
v_phage-aeromonas-phia047sample14	300	500	0.8426153659820557	0.04064046360232554
v_phage-aeromonas-phia047sample14	300	1000	0.7224320769309998	0.03121459324722411
v_phage-aeromonas-phia047sample15	300	150	0.6484033465385437	0.10959336043513024
v_phage-aeromonas-phia047sample15	300	300	0.7234795689582825	0.05895747846868377
v_phage-aeromonas-phia047sample15	300	500	0.9487614631652832	0.020226156653935165
v_phage-aeromonas-phia047sample15	300	1000	0.9986048936843872	0.004154392325704358
v_phage-aeromonas-phia047sample16	300	150	0.7353180050849915	0.07217261066879878
v_phage-aeromonas-phia047sample16	300	300	0.5132135152816772	0.12888916444965504
v_phage-aeromonas-phia047sample16	300	500	0.5963529944419861	0.09436678018401098
v_phage-aeromonas-phia047sample16	300	1000	0.335669606924057	0.11107334390815016
v_phage-aeromonas-phia047sample17	300	150	0.6922597885131836	0.08954009526919741
v_phage-aeromonas-phia047sample17	300	300	0.9416938424110413	0.016796681246336296
v_phage-aeromonas-phia047sample17	300	500	0.9104435443878174	0.02800617132965813
v_phage-aeromonas-phia047sample17	300	1000	0.4986705183982849	0.06418536143213234
v_phage-aeromonas-phia047sample18	300	150	0.44550061225891113	0.2529476019414196
v_phage-aeromonas-phia047sample18	300	300	0.13453301787376404	0.4016548676556793
v_phage-aeromonas-phia047sample18	300	500	0.01567697525024414	0.6239816365312612
v_phage-aeromonas-phia047sample18	300	1000	0.21035780012607574	0.14364755646196842
v_phage-aeromonas-phia047sample19	300	150	0.6305529475212097	0.11847558022995236
v_phage-aeromonas-phia047sample19	300	300	0.6130900382995605	0.08818821301348244
v_phage-aeromonas-phia047sample19	300	500	0.4710700809955597	0.1581120999454364
v_phage-aeromonas-phia047sample19	300	1000	0.6519986391067505	0.03686079008988594
v_phage-aeromonas-phia047sample20	300	150	0.9246351718902588	0.01570646726951273
v_phage-aeromonas-phia047sample20	300	300	0.9973526000976562	0.0021813139739369617
v_phage-aeromonas-phia047sample20	300	500	0.6152912974357605	0.08838360082033528
v_phage-aeromonas-phia047sample20	300	1000	0.9551238417625427	0.013010801420046831
v_phage-aeromonas-phia047sample21	300	150	0.9824560880661011	0.003403677886510287
v_phage-aeromonas-phia047sample21	300	300	0.9914540648460388	0.004762817333273211
v_phage-aeromonas-phia047sample21	300	500	0.9880903363227844	0.008937138986622514
v_phage-aeromonas-phia047sample21	300	1000	0.9994205236434937	0.0030024926353954227
v_phage-aeromonas-phia047sample22	300	150	0.6815148591995239	0.09419094379567798
v_phage-aeromonas-phia047sample22	300	300	0.8042294979095459	0.042239707805383955
v_phage-aeromonas-phia047sample22	300	500	0.7750725150108337	0.053481721198893675
v_phage-aeromonas-phia047sample22	300	1000	0.2956106960773468	0.12038295943802402
v_phage-aeromonas-phia047sample23	300	150	0.8293295502662659	0.04100742108760037
v_phage-aeromonas-phia047sample23	300	300	0.850822389125824	0.0338470036524327
v_phage-aeromonas-phia047sample23	300	500	0.9533703327178955	0.01913488494609494
v_phage-aeromonas-phia047sample23	300	1000	0.9681127071380615	0.011235742880882242
v_phage-aeromonas-phia047sample24	300	150	0.7271552085876465	0.07523563923829686
v_phage-aeromonas-phia047sample24	300	300	0.9401243925094604	0.017123596518915995
v_phage-aeromonas-phia047sample24	300	500	0.7485575675964355	0.05843948145778848
v_phage-aeromonas-phia047sample24	300	1000	0.5144205093383789	0.05597099478812599
v_phage-aeromonas-phia047sample25	300	150	0.564102053642273	0.15643123388250132
v_phage-aeromonas-phia047sample25	300	300	0.9854600429534912	0.0068144924922216715
v_phage-aeromonas-phia047sample25	300	500	0.9970512390136719	0.00416752902218292
v_phage-aeromonas-phia047sample25	300	1000	0.8985651731491089	0.017750585391645896
v_phage-aeromonas-phia047sample26	300	150	0.9215970039367676	0.016320199096857016
v_phage-aeromonas-phia047sample26	300	300	0.9998841285705566	0.0004509176173513099
v_phage-aeromonas-phia047sample26	300	500	0.9999123215675354	0.0004891907655835482
v_phage-aeromonas-phia047sample26	300	1000	0.9999987483024597	0.0004154392325704358
v_phage-aeromonas-phia047sample27	300	150	0.6419393420219421	0.1128140448868819
v_phage-aeromonas-phia047sample27	300	300	0.5496866106987	0.11064391035757767
v_phage-aeromonas-phia047sample27	300	500	0.6982171535491943	0.06881597019699336
v_phage-aeromonas-phia047sample27	300	1000	0.03865138813853264	0.251472920915477
v_phage-aeromonas-phia047sample28	300	150	0.9468227624893188	0.010810689068816793
v_phage-aeromonas-phia047sample28	300	300	0.6306934952735901	0.0828504757180863
v_phage-aeromonas-phia047sample28	300	500	0.9947830438613892	0.0055880637453197615
v_phage-aeromonas-phia047sample28	300	1000	0.9884854555130005	0.007780043809955435
v_phage-aeromonas-phia047sample29	300	150	0.9411150813102722	0.012018445738223669
v_phage-aeromonas-phia047sample29	300	300	0.9710999131202698	0.010788203995130089
v_phage-aeromonas-phia047sample29	300	500	0.9962399005889893	0.0047507949349940735
v_phage-aeromonas-phia047sample29	300	1000	0.9999947547912598	0.0005665080444142307
v_phage-aeromonas-phia047sample30	300	150	0.9496853351593018	0.010196957241472506
v_phage-aeromonas-phia047sample30	300	300	0.9886062145233154	0.005726653740361636
v_phage-aeromonas-phia047sample30	300	500	0.8801926970481873	0.03352838247191857
v_phage-aeromonas-phia047sample30	300	1000	0.9999121427536011	0.001548455321398897
v_phage-aeromonas-phia047sample31	300	150	0.9114537239074707	0.01876668055539915
v_phage-aeromonas-phia047sample31	300	300	0.9987300634384155	0.0014823916670424313
v_phage-aeromonas-phia047sample31	300	500	0.5038744807243347	0.1336337466368135
v_phage-aeromonas-phia047sample31	300	1000	0.990203857421875	0.007345720975904525
v_phage-aeromonas-phia047sample32	300	150	0.6976527571678162	0.0872287474240155
v_phage-aeromonas-phia047sample32	300	300	0.8115394711494446	0.0408418631915949
v_phage-aeromonas-phia047sample32	300	500	0.5520739555358887	0.10992680953545693
v_phage-aeromonas-phia047sample32	300	1000	0.2893003225326538	0.12217690157866909
v_phage-aeromonas-phia047sample33	300	150	0.6906051635742188	0.0902129480523868
v_phage-aeromonas-phia047sample33	300	300	0.8748940229415894	0.02928146277675069
v_phage-aeromonas-phia047sample33	300	500	0.4998229146003723	0.13759431033509567
v_phage-aeromonas-phia047sample33	300	1000	0.08925867825746536	0.19648387340433568
v_phage-aeromonas-phia047sample34	300	150	0.537208080291748	0.1743899280413509
v_phage-aeromonas-phia047sample34	300	300	0.4876119792461395	0.1501048383460342
v_phage-aeromonas-phia047sample34	300	500	0.3778826594352722	0.21067188470149956
v_phage-aeromonas-phia047sample34	300	1000	0.492068886756897	0.0681886849459929
v_phage-aeromonas-phia047sample35	300	150	0.8963012099266052	0.022674294208398553
v_phage-aeromonas-phia047sample35	300	300	0.935484766960144	0.018211435270776028
